ocid,release_id,date,buyer_name,buyer_id,tender_id,tender_title,mainProcurementCategory,tender_minValue,tender_datePublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-38051127,ocds-20h3g7-38051127-1,2019-05-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38051127,Pelaporan Implementasi Pengelolaan Lingkungan,services,250308100.0,2019-03-29T00:00:00.000000Z,complete,38051127-1,Pelaporan Implementasi Pengelolaan Lingkungan,2019-05-17T00:00:00.000000Z,243000000.0,PT. KHARISMA CIPTA KUASA
ocds-20h3g7-38053127,ocds-20h3g7-38053127-1,2019-04-29T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38053127,Penyediaan Tanda Lulus Uji Berkala,goods,3436012800.0,2019-04-01T00:00:00.000000Z,complete,38053127-1,Penyediaan Tanda Lulus Uji Berkala,2019-04-29T00:00:00.000000Z,3408134400.0,PT. SISMA DUTA PERTIWI
ocds-20h3g7-38056127,ocds-20h3g7-38056127-1,2019-04-10T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38056127,Belanja Modal Pengadaan Papan Visual (Running Text),goods,678810000.0,2019-04-04T00:00:00.000000Z,complete,38056127-1,Belanja Modal Pengadaan Papan Visual (Running Text),2019-04-10T00:00:00.000000Z,413820000.0,PT. SAITAMA KARYA
ocds-20h3g7-38057127,ocds-20h3g7-38057127-2,2019-04-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38057127,Pengadaan Bahan Material,goods,16551546578.91,2019-03-27T00:00:00.000000Z,complete,38057127-1,Pengadaan Bahan Material,2019-04-24T00:00:00.000000Z,15239175644.0,PT. TOHOMA MANDIRI
ocds-20h3g7-38059127,ocds-20h3g7-38059127-1,2019-04-05T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38059127,Belanja Sewa Mesin Foto Copy Kegiatan Pendampingan Kewirausahaan,services,265617000.0,2019-04-01T00:00:00.000000Z,complete,38059127-1,Belanja Sewa Mesin Foto Copy Kegiatan Pendampingan Kewirausahaan,2019-04-05T00:00:00.000000Z,197752500.0,PT. SETIAWAN KUMALAGIRI
ocds-20h3g7-38060127,ocds-20h3g7-38060127-1,2019-04-18T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38060127,Belanja Souvenir Safari GEMARIKAN,goods,1147481775.0,2019-04-02T00:00:00.000000Z,complete,38060127-1,Belanja Souvenir Safari GEMARIKAN,2019-04-18T00:00:00.000000Z,1113530000.0,CV. Jaya Fredy Semesta
ocds-20h3g7-38063127,ocds-20h3g7-38063127-1,2019-05-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38063127,Penataan Ruang Terbuka Hijau Taman Jalur Hijau di Wilayah Jakarta Timur (Perencanaan),services,283158673.6,2019-03-29T00:00:00.000000Z,complete,38063127-1,Penataan Ruang Terbuka Hijau Taman Jalur Hijau di Wilayah Jakarta Timur (Perencanaan),2019-05-17T00:00:00.000000Z,264869012.1,PT. BRHAPRATHITA KALINGGA
ocds-20h3g7-38065127,ocds-20h3g7-38065127-1,2019-05-07T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38065127,Penggantian Conference System Ruang Rapat Pimpinan,goods,1942985000.0,2019-05-02T00:00:00.000000Z,complete,38065127-1,Penggantian Conference System Ruang Rapat Pimpinan,2019-05-07T00:00:00.000000Z,1454079000.0,CV. MELATI INDAH
ocds-20h3g7-38066127,ocds-20h3g7-38066127-1,2019-05-07T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38066127,Penggantian Sound System Balai Agung dan Balairung Balaikota,goods,1600014515.0,2019-05-02T00:00:00.000000Z,complete,38066127-1,Penggantian Sound System Balai Agung dan Balairung Balaikota,2019-05-07T00:00:00.000000Z,1271171000.0,CV. MELATI INDAH
ocds-20h3g7-38073127,ocds-20h3g7-38073127-1,2019-08-28T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38073127,Penyediaan barang cetakan dan penggandaan,goods,483834780.0,2019-05-20T00:00:00.000000Z,complete,38073127-1,Penyediaan barang cetakan dan penggandaan,2019-08-28T00:00:00.000000Z,279130500.0,cv. elfana buana
