Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Penerimaan Piutang Daerah,"0,00 M","6,15 M",0.0,2014
,,,,,2014
,Pengeluaran Pembiayaan,"-15.628,32 M","-13.079,21 M",83.69,2014
,,,,,2014
,Pembentukan Dana Cadangan,"-628,87 M","-956,32 M",152.07,2014
,,,,,2014
,Penyertaan Modal,"-12.287,15 M","-9.614,14 M",78.25,2014
,,,,,2014
,Pembayaran Pokok Utang,"-2.308,44 M","-2.149,11 M",93.1,2014
,,,,,2014
,Pemberian Pinjaman Daerah,"-221,11 M","-313,86 M",141.95,2014
,,,,,2014
,Pembayaran Kegiatan Lanjutan,"-15,98 M","0,00 M",0.0,2014
,,,,,2014
,Pengeluaran Perhitungan Pihak Ketiga,"-166,78 M","-45,77 M",27.44,2014
,,,,,2014
,Pendapatan,"894.010,50 M","903.374,17 M",101.05,2015
,,,,,2015
,PAD,"215.080,31 M","215.376,55 M",100.14,2015
,,,,,2015
,Pajak Daerah,"157.664,91 M","147.828,64 M",93.76,2015
,,,,,2015
,Retribusi Daerah,"11.398,28 M","10.668,55 M",93.6,2015
,,,,,2015
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"7.099,38 M","6.760,83 M",95.23,2015
,,,,,2015
,Lain-Lain PAD yang Sah,"38.917,74 M","50.118,53 M",128.78,2015
,,,,,2015
,Dana Perimbangan,"499.969,39 M","485.276,83 M",97.06,2015
,,,,,2015
,DBH,"109.157,40 M","77.639,69 M",71.13,2015
,,,,,2015
,DAU,"355.233,80 M","352.831,90 M",99.32,2015
,,,,,2015
,DAK,"35.578,19 M","54.805,23 M",154.04,2015
,,,,,2015
,Pendapatan Lainnya,"178.960,80 M","202.720,79 M",113.28,2015
,,,,,2015
,Hibah,"6.979,95 M","6.810,32 M",97.57,2015
,,,,,2015
,Dana Darurat,"297,44 M","422,92 M",142.18,2015
,,,,,2015
,Bagi Hasil Provinsi atau Pemda Lain,"31.573,61 M","33.752,89 M",106.9,2015
,,,,,2015
,Dana Penyesuaian dan Otsus,"122.975,76 M","135.304,61 M",110.03,2015
,,,,,2015
,Bantuan Keuangan,"11.272,55 M","8.194,85 M",72.7,2015
,,,,,2015
,Pendapatan Lainnya,"5.861,49 M","18.235,22 M",311.1,2015
,,,,,2015
,Belanja,"958.137,94 M","915.518,21 M",95.55,2015
,,,,,2015
,Belanja Tidak Langsung,"504.390,82 M","510.675,87 M",101.25,2015
,,,,,2015
,Belanja Pegawai Tidak Langsung,"340.584,60 M","325.858,66 M",95.68,2015
,,,,,2015
,Belanja Langsung,"453.747,12 M","404.842,34 M",89.22,2015
,,,,,2015
,Belanja Bunga,"343,48 M","249,23 M",72.56,2015
,,,,,2015
,Belanja Pegawai Langsung,"35.464,55 M","3.333,49 M",9.4,2015
,,,,,2015
,Belanja Barang Jasa,"201.150,02 M","192.855,14 M",95.88,2015
,,,,,2015
,Belanja Modal,"217.132,55 M","208.653,71 M",96.1,2015
,,,,,2015
,Belanja Subsidi,"1.635,59 M","1.425,76 M",87.17,2015
,,,,,2015
,Belanja Hibah,"51.791,89 M","64.925,95 M",125.36,2015
,,,,,2015
,Belanja Bantuan Sosial,"8.097,10 M","7.526,62 M",92.95,2015
,,,,,2015
,Belanja Bagi Hasil,"39.349,55 M","48.654,25 M",123.65,2015
,,,,,2015
,Belanja Bantuan Keuangan,"60.337,83 M","61.413,49 M",101.78,2015
,,,,,2015
,Belanja Tidak Terduga,"2.250,78 M","621,90 M",27.63,2015
,,,,,2015
,Pembiayaan,"92.173,47 M","144.192,76 M",156.44,2015
,,,,,2015
,Penerimaan Pembiayaan,"78.154,91 M","129.165,94 M",165.27,2015
,,,,,2015
,SiLPA TA Sebelumnya,"72.586,86 M","125.263,36 M",172.57,2015
,,,,,2015
,Pencairan Dana Cadangan,"2.214,17 M","2.300,78 M",103.91,2015
,,,,,2015
,Penjualan Kekayaan Daerah yang Dipisahkan,"12,58 M","22,52 M",179.01,2015
,,,,,2015
,Penerimaan Pinjaman Daerah,"2.284,96 M","979,61 M",42.87,2015
,,,,,2015
,Penerimaan Kembali Pemberian Pinjaman,"1.056,35 M","599,67 M",56.77,2015
,,,,,2015
,Pengeluaran Pembiayaan,"-14.018,56 M","-15.026,82 M",107.19,2015
,,,,,2015
,Pembentukan Dana Cadangan,"-642,88 M","-1.121,69 M",174.48,2015
,,,,,2015
,Penyertaan Modal,"-10.729,17 M","-11.210,27 M",104.48,2015
,,,,,2015
,Pembayaran Pokok Utang,"-2.177,84 M","-2.336,31 M",107.28,2015
,,,,,2015
,Pemberian Pinjaman Daerah,"-156,62 M","-247,84 M",158.24,2015
,,,,,2015
,Pembayaran Kegiatan Lanjutan,"-3,25 M","0,00 M",0.0,2015
,,,,,2015
,Pengeluaran Perhitungan Pihak Ketiga,"-308,80 M","-110,72 M",35.85,2015
,,,,,2015
,Pendapatan Daerah,"1.033.990,97 M","1.003.137,00 M",97.02,2016
,,,,,2016
,PAD,"229.399,26 M","229.340,36 M",99.97,2016
,,,,,2016
,Pajak Daerah,"160.155,53 M","157.166,17 M",98.13,2016
,,,,,2016
,Retribusi Daerah,"11.794,60 M","10.139,03 M",85.96,2016
,,,,,2016
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"7.579,90 M","6.852,16 M",90.4,2016
,,,,,2016
,Lain-Lain PAD yang Sah,"49.869,23 M","55.183,01 M",110.66,2016
,,,,,2016
,TKDD,"736.683,37 M","701.705,41 M",95.25,2016
,,,,,2016
,Pendapatan Transfer Pemerintah Pusat,"736.683,37 M","701.705,41 M",95.25,2016
,,,,,2016
,Pendapatan Transfer Antar Daerah,"47.509,08 M","42.859,80 M",90.21,2016
,,,,,2016
,Pendapatan Lainnya,"67.908,34 M","72.091,23 M",106.16,2016
,,,,,2016
,Pendapatan Hibah,"4.519,11 M","9.452,61 M",209.17,2016
,,,,,2016
,Dana Darurat,"192,61 M","1.182,36 M",613.87,2016
,,,,,2016
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"15.687,54 M","18.596,46 M",118.54,2016
,,,,,2016
,Belanja Daerah,"1.094.749,52 M","1.003.052,37 M",91.62,2016
,,,,,2016
,Belanja Pegawai,"402.877,32 M","351.534,84 M",87.26,2016
,,,,,2016
,Belanja Pegawai,"402.877,32 M","351.534,84 M",87.26,2016
,,,,,2016
,Belanja Barang Jasa,"223.941,29 M","209.124,85 M",93.38,2016
,,,,,2016
,Belanja Barang dan Jasa,"223.941,29 M","209.124,85 M",93.38,2016
,,,,,2016
,Belanja Modal,"250.914,91 M","220.847,44 M",88.02,2016
,,,,,2016
,Belanja Modal,"250.914,91 M","220.847,44 M",88.02,2016
,,,,,2016
,Belanja Lainnya,"217.016,00 M","221.545,24 M",102.09,2016
,,,,,2016
,Belanja Bagi Hasil,"42.523,10 M","44.381,08 M",104.37,2016
,,,,,2016
,Belanja Bantuan Keuangan,"102.097,49 M","93.245,24 M",91.33,2016
,,,,,2016
,Belanja Bunga,"308,89 M","430,19 M",139.27,2016
,,,,,2016
,Belanja Subsidi,"2.357,86 M","1.642,52 M",69.66,2016
,,,,,2016
,Belanja Hibah,"60.102,18 M","73.470,97 M",122.24,2016
,,,,,2016
,Belanja Bantuan Sosial,"7.305,58 M","7.847,82 M",107.42,2016
,,,,,2016
,Belanja Tidak Terduga,"2.320,89 M","527,43 M",22.73,2016
,,,,,2016
,Pembiayaan Daerah,"61.628,71 M","84.426,40 M",136.99,2016
,,,,,2016
,Penerimaan Pembiayaan Daerah,"80.259,47 M","102.860,74 M",128.16,2016
,,,,,2016
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"75.522,45 M","99.856,96 M",132.22,2016
,,,,,2016
,Pencairan Dana Cadangan,"617,59 M","507,40 M",82.16,2016
,,,,,2016
,Penjualan Kekayaan Daerah yang Dipisahkan,"129,73 M","27,35 M",21.08,2016
,,,,,2016
,Penerimaan Pinjaman Daerah,"2.323,55 M","1.432,74 M",61.66,2016
,,,,,2016
,Penerimaan Kembali Pemberian Pinjaman Daerah,"1.666,14 M","1.036,29 M",62.2,2016
,,,,,2016
,Pengeluaran Pembiayaan Daerah,"18.630,76 M","18.434,34 M",98.95,2016
,,,,,2016
,Pembentukan Dana Cadangan,"861,73 M","1.228,78 M",142.59,2016
,,,,,2016
,Penyertaan Modal Daerah,"12.612,60 M","12.910,05 M",102.36,2016
,,,,,2016
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"4.284,05 M","3.736,99 M",87.23,2016
,,,,,2016
,Pemberian Pinjaman Daerah,"588,96 M","453,38 M",76.98,2016
,,,,,2016
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"283,43 M","105,14 M",37.1,2016
,,,,,2016
